,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
134,Hambantota,75,LK,1571718140,100,6.12,81.12,78.8,2.24
135,Bone,57,DE,1571718141,93,51.97,12.14,55.99,5.82
136,Alyangula,7,AU,1571718143,66,-13.85,136.42,86.0,9.17
137,Grand-Santi,1,GF,1571718144,98,4.27,-54.38,70.75,2.28
138,Raudeberg,75,NO,1571718146,93,61.99,5.14,48.99,38.03
139,San Patricio,0,PY,1571718147,97,-26.98,-56.83,55.44,3.36
140,Souillac,2,FR,1571718149,93,45.6,-0.6,46.0,3.36
141,Mayor Pablo Lagerenza,0,PY,1571718150,51,-19.93,-60.77,66.25,3.27
142,Soderhamn,100,SE,1571718152,92,61.3,17.06,43.0,5.01
143,Port Macquarie,0,AU,1571718153,53,-31.43,152.91,82.0,13.87
144,Nerang,40,AU,1571718156,53,-27.99,153.34,79.0,14.99
145,Tiksi,35,RU,1571718157,84,71.64,128.87,5.95,7.76
146,Leningradskiy,100,RU,1571718158,85,69.38,178.42,27.32,23.47
147,Kavieng,97,PG,1571718160,67,-2.57,150.8,83.55,4.9
148,Sitka,30,US,1571718161,41,37.17,-99.65,44.01,10.0
149,Pevek,100,RU,1571718162,89,69.7,170.27,25.12,7.54
150,Muroto,75,JP,1571718164,41,33.37,134.14,78.8,17.22
151,Pisco,90,PE,1571718165,82,-13.71,-76.2,62.6,9.17
152,Ixtapa,75,MX,1571718166,88,20.71,-105.21,77.0,2.08
153,Hithadhoo,100,MV,1571718168,77,-0.6,73.08,80.89,11.88
154,Kiunga,52,PG,1571718169,57,-6.12,141.3,88.16,4.47
155,Kahului,40,US,1571718170,58,20.89,-156.47,82.4,17.22
156,Yelan-Koleno,36,RU,1571718172,85,51.15,41.22,49.51,8.23
157,Bethel,90,US,1571718173,86,60.79,-161.76,41.0,4.7
158,Luanda,75,AO,1571718174,83,-8.83,13.24,77.0,6.93
159,Kodiak,20,US,1571718176,66,39.95,-94.76,48.99,13.87
160,Luba,0,PH,1571718177,64,17.32,120.7,86.22,3.24
161,Spirovo,97,RU,1571718178,94,57.42,34.99,43.56,1.39
162,Saskylakh,14,RU,1571718180,91,71.97,114.09,8.24,10.42
163,Ketchikan,90,US,1571718181,100,55.34,-131.65,46.4,13.87
164,Saint George,0,GR,1571718183,87,39.45,22.34,57.2,1.21
165,Sinnamary,100,GF,1571718184,79,5.38,-52.96,81.07,12.48
166,Qaqortoq,100,GL,1571718185,91,60.72,-46.03,32.0,4.7
167,Qostanay,34,KZ,1571718187,48,53.17,63.58,32.0,11.18
168,Hammerfest,20,NO,1571718188,74,70.66,23.68,28.4,8.05
169,Tomatlan,100,MX,1571718189,98,19.93,-105.25,70.75,0.74
170,Aklavik,90,CA,1571718191,92,68.22,-135.01,19.4,3.36
171,Omsukchan,82,RU,1571718192,97,62.53,155.8,8.98,2.04
172,East London,75,ZA,1571718193,81,-33.02,27.91,53.6,5.82
173,Edd,0,ER,1571718195,45,13.93,41.69,83.57,2.35
174,Cidreira,100,BR,1571718196,79,-30.17,-50.22,63.18,1.5
175,Huercal-Overa,100,ES,1571718197,93,37.39,-1.95,52.0,3.56
176,Ucluelet,100,CA,1571718199,94,48.94,-125.55,54.0,4.09
177,Leh,0,IN,1571718200,38,34.16,77.58,27.28,0.94
178,Locri,5,IT,1571718201,82,38.24,16.26,70.0,4.7
179,Avarua,0,CK,1571718203,78,-21.21,-159.78,77.0,9.17
180,Zapolyarnyy,90,RU,1571718204,92,69.43,30.82,23.0,11.41
181,San Andres,0,PH,1571718205,73,13.32,122.68,84.42,4.52
182,Bulawayo,7,ZW,1571718207,31,-20.16,28.59,66.11,3.49
183,Thompson,20,CA,1571718208,85,55.74,-97.86,24.8,2.24
184,Gambela,94,ET,1571718209,91,8.25,34.59,69.48,4.65
185,Inhambane,75,MZ,1571718211,94,-23.87,35.38,77.0,9.17
186,Buriti Bravo,73,BR,1571718212,93,-5.84,-43.84,71.98,1.92
187,Vostok,0,RU,1571718213,29,46.45,135.83,52.75,3.27
188,Haines Junction,100,CA,1571718215,90,60.75,-137.51,18.27,2.53
189,Marsabit,22,KE,1571718216,69,2.34,37.99,74.57,21.72
190,Teahupoo,20,PF,1571718218,74,-17.83,-149.27,80.6,4.7
191,Cap Malheureux,75,MU,1571718219,78,-19.98,57.61,77.0,14.99
192,Yeniseysk,100,RU,1571718221,65,58.45,92.17,25.48,8.21
193,Tarko-Sale,3,RU,1571718222,92,64.92,77.78,18.63,10.78
194,Cordele,90,US,1571718223,83,31.96,-83.78,73.4,6.24
195,Port Elizabeth,90,US,1571718225,87,39.31,-74.98,61.0,4.7
196,Tuktoyaktuk,90,CA,1571718226,85,69.44,-133.03,19.4,4.7
197,Matsuura,20,JP,1571718227,54,33.33,129.72,80.6,5.82
198,Pendleton,20,US,1571718229,93,34.65,-82.78,66.99,6.93
199,Karratha,0,AU,1571718230,53,-20.74,116.85,86.38,5.64
200,Chake Chake,0,TZ,1571718231,82,-5.25,39.77,80.15,12.64
201,Yebaishou,0,CN,1571718233,20,41.4,119.64,60.69,4.74
202,Kungurtug,100,RU,1571718234,77,50.6,97.53,14.59,4.5
203,Padang,91,ID,1571718236,78,-0.92,100.36,78.19,3.15
204,Isangel,75,VU,1571718237,62,-19.55,169.27,84.2,9.17
205,Upington,0,ZA,1571718239,32,-28.46,21.24,53.6,2.24
206,Olga,1,US,1571718240,38,34.11,-118.17,77.0,2.82
207,Faanui,0,PF,1571718242,66,-16.48,-151.75,81.3,4.03
208,Evensk,0,RU,1571718243,57,61.92,159.24,20.71,7.83
209,Namatanai,71,PG,1571718244,67,-3.66,152.44,85.08,9.37
210,Chuy,19,UY,1571718246,95,-33.69,-53.46,51.37,3.91
211,Verkhnyaya Inta,100,RU,1571718247,89,65.99,60.32,25.81,16.6
212,Matay,0,EG,1571718248,61,28.42,30.79,67.35,4.85
213,San Quintin,0,PH,1571718250,64,17.54,120.52,86.22,3.24
214,Barra Patuca,98,HN,1571718251,76,15.8,-84.28,83.77,15.7
215,Sakata,75,JP,1571718252,77,38.92,139.93,60.8,20.8
216,Ostrovnoy,33,RU,1571718254,88,68.05,39.51,20.05,15.75
217,Palmas Bellas,88,PA,1571718255,94,9.23,-80.09,77.0,2.24
218,Srinivaspur,75,IN,1571718256,100,13.34,78.21,78.01,6.93
219,Rio Gallegos,0,AR,1571718258,70,-51.62,-69.22,42.8,6.93
220,Hofn,24,IS,1571718259,58,64.25,-15.21,37.47,19.73
221,Sinjar,0,SY,1571718260,62,35.59,37.0,63.48,3.11
222,Yar-Sale,100,RU,1571718262,82,66.83,70.83,22.91,17.11
223,Ankang,100,CN,1571718264,98,32.73,108.99,55.78,2.19
224,Thabazimbi,5,ZA,1571718265,29,-24.59,27.41,66.0,1.01
225,Kidal,68,ML,1571718266,26,18.44,1.41,86.86,8.99
226,Saravan,40,AM,1571718268,66,39.72,45.65,53.6,4.7
227,Porto Novo,40,BR,1571718269,88,-23.68,-45.44,64.4,1.12
228,Nelson Bay,0,AU,1571718271,49,-32.72,152.14,75.0,12.75
229,Bastia,75,IT,1571718272,93,44.6,8.98,66.99,3.36
230,Aksu,100,KZ,1571718274,85,52.04,76.93,21.2,8.95
231,Pingliang,58,CN,1571718275,65,35.54,106.68,50.95,5.23
232,Mareeba,75,AU,1571718276,58,-16.99,145.42,82.4,17.22
233,Lakes Entrance,19,AU,1571718278,71,-37.88,147.99,73.0,5.99
234,Bagdarin,100,RU,1571718279,75,54.44,113.59,17.96,7.47
235,Catalina,90,PE,1571718281,82,-13.57,-76.13,62.6,9.17
236,Poum,0,MK,1571718282,87,41.28,20.71,42.8,4.7
237,Mayo,90,CA,1571718284,95,63.59,-135.9,32.0,3.02
238,Benghazi,0,LY,1571718285,75,32.12,20.07,72.34,13.31
239,Bilibino,0,RU,1571718286,92,68.06,166.44,-0.41,1.25
240,Abu Dhabi,0,AE,1571718287,78,24.47,54.37,80.6,6.93
241,Pemba,20,MZ,1571718289,94,-12.97,40.52,77.0,8.05
242,Chapaevsk,40,RU,1571718289,93,52.98,49.71,50.0,8.95
243,Tessalit,3,ML,1571718291,34,20.2,1.01,81.28,3.13
244,Kudahuvadhoo,100,MV,1571718293,76,2.67,72.89,81.77,14.16
245,Puerto Padre,60,CU,1571718294,88,21.2,-76.61,78.8,3.36
246,Abalak,3,NE,1571718296,25,15.46,6.28,85.84,5.93
247,Ust-Tsilma,94,RU,1571718297,75,65.44,52.15,21.51,9.35
248,Zhezkazgan,64,KZ,1571718298,58,47.8,67.71,24.8,8.95
249,Arua,64,UG,1571718299,92,3.02,30.91,64.22,8.66
250,Wanaka,100,NZ,1571718301,91,-44.7,169.14,36.99,5.64
251,Wuwei,0,CN,1571718303,41,37.93,102.64,63.0,3.27
252,Dalvik,67,SE,1571718304,100,57.79,14.13,48.0,6.93
253,Mattru,100,SL,1571718305,92,7.62,-11.83,74.93,2.37
254,Luganville,75,VU,1571718307,70,-15.51,167.18,86.0,6.93
255,Chokurdakh,98,RU,1571718308,92,70.62,147.9,10.74,10.33
256,Foumbot,100,CM,1571718310,95,5.51,10.64,61.79,1.95
257,Pokosnoye,100,RU,1571718311,62,55.53,101.05,22.26,8.55
258,Derzhavinsk,35,KZ,1571718313,49,51.1,66.31,29.19,9.84
259,Kolyshley,100,RU,1571718314,94,52.7,44.54,50.13,9.93
260,Provideniya,40,RU,1571718316,74,64.42,-173.23,33.8,6.71
261,Anloga,20,GH,1571718317,94,5.79,0.9,77.0,5.82
262,Christchurch,100,NZ,1571718318,87,-43.53,172.64,53.01,18.34
263,Lompoc,1,US,1571718320,51,34.64,-120.46,73.4,10.89
264,Limon,75,US,1571718321,59,39.26,-103.69,39.0,9.17
265,Bud,75,NO,1571718323,62,62.91,6.91,51.8,23.04
266,Burgeo,9,CA,1571718324,73,47.61,-57.61,45.12,10.47
267,Boden,75,SE,1571718326,95,65.83,21.69,32.0,3.36
268,Boende,93,CD,1571718327,98,-0.28,20.88,68.72,2.39
269,Batemans Bay,0,AU,1571718328,79,-35.71,150.18,77.0,4.0
270,Srivardhan,84,IN,1571718330,88,18.03,73.02,76.8,5.17
271,Ayame,5,CI,1571718331,97,5.61,-3.16,72.34,1.99
272,Severobaykalsk,11,RU,1571718332,58,55.65,109.32,27.84,7.49
273,Flinders,0,AU,1571718334,33,-34.58,150.85,75.2,12.75
274,Coquimbo,100,CL,1571718335,87,-29.95,-71.34,61.0,13.87
275,Meulaboh,78,ID,1571718336,77,4.14,96.13,80.15,1.74
276,Lewisporte,90,CA,1571718338,100,49.25,-55.06,42.01,11.41
277,Saint-Joseph,90,FR,1571718339,93,43.56,6.97,66.99,3.36
278,Villeneuve-sur-Lot,90,FR,1571718340,93,44.41,0.7,46.99,3.78
279,Broken Hill,89,AU,1571718342,13,-31.97,141.45,84.2,9.17
280,Oktyabrskoye,20,RU,1571718343,79,56.73,85.44,26.01,17.9
281,Bodrum,0,TR,1571718344,43,37.04,27.43,69.8,8.05
282,Kapuvar,72,HU,1571718346,93,47.59,17.03,53.01,5.82
283,Ulverstone,95,AU,1571718347,65,-41.16,146.17,68.0,8.01
284,Oistins,40,BB,1571718349,78,13.07,-59.53,78.8,12.75
285,Riberalta,82,BO,1571718350,98,-11.0,-66.08,72.84,2.42
286,Victor Harbor,0,AU,1571718351,26,-35.55,138.62,84.0,10.29
287,Imeni Poliny Osipenko,100,RU,1571718352,53,52.42,136.49,45.63,9.51
288,Les Escoumins,1,CA,1571718354,92,48.35,-69.4,39.22,2.75
289,Msowero,20,TZ,1571718355,94,-6.53,37.2,69.8,1.79
290,Salo,75,FI,1571718356,87,60.38,23.13,51.01,13.87
291,Tocopilla,0,CL,1571718358,37,-22.09,-70.2,50.61,2.8
292,Teguldet,100,RU,1571718359,69,57.31,88.17,24.75,12.1
293,Salinopolis,84,BR,1571718361,81,-0.61,-47.36,81.19,14.25
294,Khatanga,100,RU,1571718362,92,71.98,102.47,15.6,15.88
295,Tezu,48,IN,1571718364,82,27.93,96.16,73.35,1.66
296,Mirnyy,17,RU,1571718365,96,56.57,36.46,40.86,3.36
297,Kuryk,0,KZ,1571718367,59,43.18,51.68,56.84,15.93
298,Mnogovershinnyy,0,RU,1571718368,50,53.94,139.92,41.27,16.28
299,Srednekolymsk,86,RU,1571718370,94,67.46,153.71,8.35,4.88
300,Bambanglipuro,1,ID,1571718371,50,-7.95,110.28,87.42,15.01
301,Kargasok,91,RU,1571718372,87,59.06,80.87,26.69,10.2
302,Stephenville,90,CA,1571718374,81,48.55,-58.59,42.8,2.24
303,Belaya Gora,54,RU,1571718375,94,68.54,146.19,10.09,5.06
304,Ewa Beach,40,US,1571718377,65,21.32,-158.01,82.4,16.11
305,Tel Aviv-Yafo,20,IL,1571718378,68,32.08,34.78,68.0,2.24
306,Kartaly,94,RU,1571718379,66,53.05,60.64,32.16,16.15
307,Bilma,0,NE,1571718381,16,18.69,12.92,81.97,16.42
308,Henties Bay,0,NA,1571718382,89,-22.12,14.28,57.99,1.99
309,Vadso,100,NO,1571718384,85,70.07,29.75,23.0,3.36
310,Narayanpet,85,IN,1571718385,83,16.73,77.5,75.9,3.74
311,Am Timan,95,TD,1571718386,94,11.04,20.28,71.38,4.9
312,Tyrma,0,RU,1571718388,35,50.04,132.17,43.27,11.97
313,Talnakh,75,RU,1571718390,79,69.49,88.39,23.0,13.42
314,Hovd,75,NO,1571718391,97,63.83,10.7,52.0,14.99
315,Maunatlala,6,BW,1571718393,28,-22.6,27.63,80.6,11.41
316,Dunhua,5,CN,1571718394,46,43.37,128.23,57.7,2.93
317,Quatre Cocos,75,MU,1571718395,78,-20.21,57.76,77.0,14.99
318,Ilhabela,100,BR,1571718397,71,-23.78,-45.36,69.91,5.93
319,Prainha,100,BR,1571718398,71,-1.8,-53.48,78.46,0.34
320,Tuatapere,100,NZ,1571718400,90,-46.13,167.69,43.0,14.0
321,Mackay,40,CA,1571718402,80,53.65,-115.58,33.8,2.17
322,Vila Franca do Campo,20,PT,1571718403,82,37.72,-25.43,59.0,4.7
323,Adrar,0,DZ,1571718405,23,27.87,-0.29,73.4,12.75
324,Moron,72,HT,1571718406,80,18.56,-74.26,79.83,4.63
325,Danielskuil,13,ZA,1571718407,32,-28.19,23.54,46.24,6.11
326,Guarapari,90,BR,1571718409,88,-20.67,-40.5,75.0,3.36
327,Olinda,0,AU,1571718410,49,-37.84,145.39,75.0,6.93
328,Alofi,1,NU,1571718412,83,-19.06,-169.92,80.6,9.17
329,Guilin,90,CN,1571718413,100,25.28,110.29,68.0,6.71
330,Vejen,98,DK,1571718415,93,55.47,9.13,54.0,10.29
331,Phan Thiet,0,VN,1571718416,62,10.93,108.1,86.65,3.53
332,Mumbwa,5,ZM,1571718417,27,-14.99,27.06,70.09,6.42
333,La Chapelle-sur-Erdre,0,FR,1571718419,100,47.3,-1.55,42.01,3.36
334,Iqaluit,40,CA,1571718420,86,63.75,-68.52,30.2,3.36
335,Kaeo,29,NZ,1571718421,77,-35.1,173.78,64.99,15.75
336,Tiznit,68,MA,1571718423,86,29.7,-9.73,51.19,13.76
337,North Battleford,90,CA,1571718425,69,52.78,-108.3,36.0,10.29
338,Codajas,9,BR,1571718426,87,-3.84,-62.06,75.97,1.36
339,Petrolina,97,BR,1571718427,51,-9.38,-40.5,84.2,5.82
340,Kardailovo,100,RU,1571718429,56,51.54,53.9,39.63,11.79
341,Coromandel,100,BR,1571718430,74,-18.47,-47.2,66.33,10.33
342,North Myrtle Beach,90,US,1571718431,82,33.83,-78.68,72.0,4.56
343,Pirgos,40,GR,1571718433,88,35.12,25.72,72.0,17.22
344,San Cristobal,98,HN,1571718434,90,14.68,-86.92,67.53,5.08
345,Villamontes,67,BO,1571718435,40,-21.26,-63.47,66.33,3.94
346,Sambava,1,MG,1571718437,81,-14.27,50.17,71.2,2.37
347,Mayya,75,RU,1571718438,100,61.74,130.28,24.8,4.47
348,Taos,1,US,1571718439,42,36.41,-105.57,34.0,8.05
349,Santa Cruz,69,BR,1571718441,92,-6.22,-36.02,67.87,4.72
350,Jiwani,7,PK,1571718442,71,25.05,61.74,82.71,9.42
351,Nizwa,0,OM,1571718443,28,22.93,57.53,73.9,2.84
352,Ovalle,100,CL,1571718445,66,-30.6,-71.2,52.2,1.54
353,Sisimiut,23,GL,1571718446,53,66.94,-53.67,20.8,9.69
354,Kiama,0,AU,1571718448,33,-34.67,150.86,75.2,12.75
355,Alabaster,90,US,1571718449,94,33.24,-86.82,71.6,6.06
356,Lerwick,100,GB,1571718451,93,60.15,-1.15,51.8,33.33
357,Nara,75,JP,1571718452,64,34.68,135.8,77.0,9.17
358,Mahanoro,4,MG,1571718454,82,-19.9,48.8,75.87,14.56
359,Abha,3,SA,1571718456,37,18.22,42.5,60.8,2.01
360,Vardo,40,US,1571718457,77,39.62,-77.74,59.0,8.05
361,Puerto Quijarro,90,BO,1571718458,89,-19.0,-57.72,69.24,3.11
362,Touros,40,BR,1571718460,88,-5.2,-35.46,73.4,1.12
363,Nabire,4,ID,1571718461,53,-3.36,135.5,89.29,6.08
364,Kamakhyanagar,43,IN,1571718462,79,20.93,85.54,80.46,2.44
365,Umm Kaddadah,36,SD,1571718464,50,13.6,26.69,82.94,9.1
366,Hami,100,CN,1571718465,29,42.84,93.51,52.0,9.26
367,Scarborough,0,GB,1571718467,93,54.28,-0.41,42.01,2.24
368,Port Lincoln,0,AU,1571718468,27,-34.72,135.86,77.76,8.23
369,Mglin,98,RU,1571718469,94,53.06,32.85,49.59,1.3
370,Tromso,75,NO,1571718471,86,69.65,18.96,30.2,23.04
371,Bolshaya Dzhalga,0,RU,1571718472,85,45.97,42.7,47.44,7.36
372,Kaka,4,TM,1571718473,43,37.35,59.62,58.15,7.2
